step,axiom,depth,impact,max_depth,repair_cost,violation_score
1,"jah ⊑ uEE, p=1.0",32,0.0,32,2.3283064365386963e-10,247.0
2,"WJF ⊑ OCN, p=1.0",32,0.0,32,2.3283064365386963e-10,245.0
3,"OgK ⊑ LSv, p=1.0",32,0.0,32,2.3283064365386963e-10,244.0
4,"OCN ⊑ PmV, p=1.0",31,0.0,31,4.656612873077393e-10,242.0
5,"LSv ⊑ MOb, p=1.0",31,0.0,31,4.656612873077393e-10,235.0
6,"uEE ⊑ KxB, p=1.0",31,0.0,31,4.656612873077393e-10,233.0
7,"PmV ⊑ mHi, p=1.0",30,0.0,30,9.313225746154785e-10,231.0
8,"MOb ⊑ Xww, p=1.0",30,0.0,30,9.313225746154785e-10,230.0
9,"KxB ⊑ mHi, p=1.0",30,0.0,30,9.313225746154785e-10,228.0
10,"KxB ⊑ ELZ, p=1.0",30,0.0,30,9.313225746154785e-10,226.0
11,"mHi ⊑ Odd, p=1.0",29,0.0,29,1.862645149230957e-9,225.0
12,"Xww ⊑ ODt, p=1.0",29,0.0,29,1.862645149230957e-9,224.0
13,"ELZ ⊑ Jba, p=1.0",29,0.0,29,1.862645149230957e-9,223.0
14,"ODt ⊑ sCZ, p=1.0",28,0.0,28,3.725290298461914e-9,222.0
15,"Jba ⊑ WaF, p=1.0",28,0.0,28,3.725290298461914e-9,219.0
16,"Odd ⊑ osk, p=1.0",28,0.0,28,3.725290298461914e-9,217.0
17,"osk ⊑ mtw, p=1.0",27,0.0,27,7.450580596923828e-9,215.0
18,"sCZ ⊑ QTn, p=1.0",27,0.0,27,7.450580596923828e-9,214.0
19,"WaF ⊑ PTl, p=1.0",27,0.0,27,7.450580596923828e-9,212.0
20,"mtw ⊑ usY, p=1.0",26,0.0,26,1.4901161193847656e-8,210.0
21,"PTl ⊑ fYH, p=1.0",26,0.0,26,1.4901161193847656e-8,208.0
22,"LSv ⊑ fYH, p=1.0",26,0.0,26,1.4901161193847656e-8,207.0
23,"QTn ⊑ vkW, p=1.0",26,0.0,26,1.4901161193847656e-8,205.0
24,"OCN ⊑ vkW, p=1.0",26,0.0,26,1.4901161193847656e-8,204.0
25,"vkW ⊑ ieM, p=1.0",25,0.0,25,2.9802322387695312e-8,203.0
26,"jah ⊑ lnp, p=1.0",25,0.0,25,2.9802322387695312e-8,200.0
27,"usY ⊑ lnp, p=1.0",25,0.0,25,2.9802322387695312e-8,199.0
28,"fYH ⊑ Kat, p=1.0",25,0.0,25,2.9802322387695312e-8,197.0
29,"ieM ⊑ BBS, p=1.0",24,0.0,24,5.960464477539063e-8,196.0
