step,axiom,depth,impact,max_depth,shapley_score,violation_score
1,"iru ⊑ lqk, p=1.0",8,0.7171717171717171,32,5.19,243.0
2,"XJf ⊑ KAx, p=1.0",8,0.5757575757575758,32,5.248,232.0
3,"HbT ⊑ goH, p=1.0",9,0.3939393939393939,32,4.657,228.0
4,"pgT ⊑ bQI, p=1.0",3,0.7171717171717171,32,4.54,215.0
5,"VzX ⊑ bQI, p=1.0",3,0.26262626262626265,32,3.407,210.0
6,"ECQ ⊑ AZy, p=1.0",4,0.6767676767676768,32,3.149,204.0
7,"ECQ ⊑ ilM, p=1.0",4,0.6767676767676768,32,5.194,201.0
8,"RmP ⊑ Jzi, p=1.0",7,0.5757575757575758,30,3.3,195.0
9,"ECQ ⊓ lIl = ∅, p=1.0",1,0.7777777777777778,25,3.074,185.0
10,"VkM ⊑ lIY, p=1.0",5,0.1919191919191919,25,3.286,178.0
11,"VkM ⊓ wnl = ∅, p=1.0",3,0.45454545454545453,25,3.336,170.0
12,"uOS ⊑ nui, p=1.0",10,0.31313131313131315,25,3.164,165.0
13,"mqO ⊑ uKP, p=1.0",4,0.5252525252525253,25,3.942,160.0
14,"JOh ⊑ jhK, p=1.0",6,0.25252525252525254,25,2.623,148.0
15,"CUJ ⊑ uMF, p=1.0",16,0.1111111111111111,25,2.863,142.0
16,"SzQ ⊑ Frt, p=1.0",6,0.30303030303030304,22,2.601,129.0
17,"tqI ⊑ kUi, p=1.0",16,0.06060606060606061,22,2.61,117.0
18,"dyb ⊑ bDY, p=1.0",10,0.06060606060606061,20,2.462,104.0
19,"IQY ⊑ lBP, p=1.0",18,0.030303030303030304,20,2.235,97.0
20,"HbT ⊑ feC, p=1.0",3,0.16161616161616163,19,2.061,93.0
21,"lFi ⊑ JNI, p=1.0",14,0.0707070707070707,19,1.955,85.0
22,"CIJ ⊑ ZPf, p=1.0",8,0.030303030303030304,15,1.901,74.0
23,"VXe ⊑ KqY, p=1.0",5,0.0707070707070707,15,1.998,64.0
24,"IQY ⊑ lIY, p=1.0",5,0.030303030303030304,15,1.793,60.0
25,"KAx ⊑ bQI, p=1.0",3,0.0,15,1.646,53.0
26,"leZ ⊑ iru, p=1.0",2,0.04040404040404041,15,1.744,48.0
27,"ydY ⊑ uKP, p=1.0",4,0.010101010101010102,15,1.88,44.0
28,"waU ⊑ bGy, p=1.0",7,0.020202020202020204,15,1.569,38.0
29,"diG ⊑ MZj, p=1.0",11,0.010101010101010102,15,1.42,31.0
30,"hpD ⊑ sZU, p=1.0",11,0.020202020202020204,15,1.266,26.0
31,"IQY ⊑ ilM, p=1.0",4,0.030303030303030304,15,0.957,17.0
32,"JGw ⊑ Ght, p=1.0",12,0.010101010101010102,15,0.664,14.0
33,"mqO ⊑ TJz, p=1.0",4,0.2222222222222222,15,0.922,12.0
34,"FmT ⊑ fWw, p=1.0",5,0.010101010101010102,15,0.615,6.0
35,"Oec ⊑ EdI, p=1.0",15,0.0,15,0.476,2.0
