step,axiom,depth,impact,max_depth,repair_cost,violation_score
1,"WJF ⊑ OCN, p=1.0",32,0.0,32,0.5,247.0
2,"OgK ⊑ LSv, p=1.0",32,0.0,32,0.5,246.0
3,"jah ⊑ uEE, p=1.0",32,0.0,32,0.5,244.0
4,"OCN ⊑ PmV, p=1.0",31,0.0,31,0.5,242.0
5,"LSv ⊑ MOb, p=1.0",31,0.0,31,0.5,235.0
6,"uEE ⊑ KxB, p=1.0",31,0.0,31,0.5,233.0
7,"KxB ⊑ ELZ, p=1.0",30,0.0,30,0.5,231.0
8,"PmV ⊑ mHi, p=1.0",30,0.0,30,0.5,229.0
9,"KxB ⊑ mHi, p=1.0",30,0.0,30,0.5,228.0
10,"MOb ⊑ Xww, p=1.0",30,0.0,30,0.5,227.0
11,"mHi ⊑ Odd, p=1.0",29,0.0,29,0.5,225.0
12,"ELZ ⊑ Jba, p=1.0",29,0.0,29,0.5,224.0
13,"Xww ⊑ ODt, p=1.0",29,0.0,29,0.5,223.0
14,"Odd ⊑ osk, p=1.0",28,0.0,28,0.5,222.0
15,"ODt ⊑ sCZ, p=1.0",28,0.0,28,0.5,220.0
16,"Jba ⊑ WaF, p=1.0",28,0.0,28,0.5,217.0
17,"WaF ⊑ PTl, p=1.0",27,0.0,27,0.5,215.0
18,"osk ⊑ mtw, p=1.0",27,0.0,27,0.5,213.0
19,"sCZ ⊑ QTn, p=1.0",27,0.0,27,0.5,212.0
20,"PTl ⊑ fYH, p=1.0",26,0.0,26,0.5,210.0
21,"QTn ⊑ vkW, p=1.0",26,0.0,26,0.5,209.0
22,"mtw ⊑ usY, p=1.0",26,0.0,26,0.5,208.0
23,"LSv ⊑ fYH, p=1.0",26,0.0,26,0.5,206.0
24,"OCN ⊑ vkW, p=1.0",26,0.0,26,0.5,204.0
25,"fYH ⊑ Kat, p=1.0",25,0.0,25,0.5,203.0
26,"jah ⊑ lnp, p=1.0",25,0.0,25,0.5,202.0
27,"vkW ⊑ ieM, p=1.0",25,0.0,25,0.5,201.0
28,"usY ⊑ lnp, p=1.0",25,0.0,25,0.5,198.0
29,"Kat ⊑ YYd, p=1.0",24,0.0,24,0.5,196.0
30,"lnp ⊑ KRy, p=1.0",24,0.0,24,0.5,195.0
31,"OCN ⊑ BBS, p=1.0",24,0.0,24,0.5,194.0
32,"MOb ⊑ YYd, p=1.0",24,0.0,24,0.5,193.0
33,"ieM ⊑ BBS, p=1.0",24,0.0,24,0.5,191.0
34,"ODt ⊑ sYj, p=1.0",23,0.0,23,0.5,187.0
35,"Jba ⊑ tRD, p=1.0",23,0.0,23,0.5,186.0
36,"OCN ⊑ tsm, p=1.0",23,0.0,23,0.5,185.0
37,"BBS ⊑ tsm, p=1.0",23,0.0,23,0.5,184.0
38,"YYd ⊑ sYj, p=1.0",23,0.0,23,0.5,182.0
39,"KRy ⊑ tRD, p=1.0",23,0.0,23,0.5,181.0
40,"sYj ⊑ lEy, p=1.0",22,0.0,22,0.5,179.0
41,"tRD ⊑ CMR, p=1.0",22,0.0,22,0.5,178.0
42,"tsm ⊑ FkS, p=1.0",22,0.0,22,0.5,172.0
43,"CMR ⊑ KSD, p=1.0",21,0.0,21,0.5,171.0
44,"FkS ⊑ hKm, p=1.0",21,0.0,21,0.5,169.0
45,"lEy ⊑ fGU, p=1.0",21,0.0,21,0.5,168.0
46,"fGU ⊑ TYi, p=1.0",20,0.0,20,0.5,166.0
47,"KSD ⊑ krj, p=1.0",20,0.0,20,0.5,165.0
48,"hKm ⊑ UFb, p=1.0",20,0.0,20,0.5,163.0
49,"zwc ⊑ VIV, p=1.0",19,0.0,19,0.5,161.0
50,"TYi ⊑ mWS, p=1.0",19,0.0,19,0.5,160.0
51,"UFb ⊑ VIV, p=1.0",19,0.0,19,0.5,152.0
52,"Kat ⊑ jpW, p=1.0",19,0.0,19,0.5,151.0
53,"krj ⊑ jpW, p=1.0",19,0.0,19,0.5,150.0
54,"VIV ⊑ Efs, p=1.0",18,0.0,18,0.5,149.0
55,"jpW ⊑ KAp, p=1.0",18,0.0,18,0.5,148.0
56,"mWS ⊑ JBh, p=1.0",18,0.0,18,0.5,147.0
57,"tRD ⊑ Efs, p=1.0",18,0.0,18,0.5,146.0
58,"Efs ⊑ ZJk, p=1.0",17,0.0,17,0.5,145.0
59,"KAp ⊑ wfY, p=1.0",17,0.0,17,0.5,143.0
60,"TYi ⊑ wfY, p=1.0",17,0.0,17,0.5,142.0
61,"Efs ⊑ CuW, p=1.0",17,0.0,17,0.5,141.0
62,"JBh ⊑ CuW, p=1.0",17,0.0,17,0.5,140.0
63,"UFb ⊑ CuW, p=1.0",17,0.0,17,0.5,139.0
64,"wfY ⊑ oOe, p=1.0",16,0.0,16,0.5,138.0
65,"CuW ⊑ cnn, p=1.0",16,0.0,16,0.5,137.0
66,"ZJk ⊑ ptx, p=1.0",16,0.0,16,0.5,136.0
67,"ZJk ⊑ asU, p=1.0",15,0.0,15,0.5,132.0
68,"oOe ⊑ ofX, p=1.0",15,0.0,15,0.5,131.0
69,"ptx ⊑ QIs, p=1.0",15,0.0,15,0.5,129.0
70,"mHi ⊑ QIs, p=1.0",15,0.0,15,0.5,128.0
71,"cnn ⊑ asU, p=1.0",15,0.0,15,0.5,127.0
72,"mtw ⊑ QIs, p=1.0",15,0.0,15,0.5,126.0
73,"ofX ⊑ kak, p=1.0",14,0.0,14,0.5,125.0
74,"asU ⊑ uFE, p=1.0",14,0.0,14,0.5,124.0
75,"QIs ⊑ JIT, p=1.0",14,0.0,14,0.5,123.0
76,"fYH ⊑ kak, p=1.0",14,0.0,14,0.5,122.0
77,"Efs ⊑ BUx, p=1.0",13,0.0,13,0.5,119.0
78,"kak ⊑ AnY, p=1.0",13,0.0,13,0.5,118.0
79,"uFE ⊑ BUx, p=1.0",13,0.0,13,0.5,117.0
80,"JIT ⊑ XhM, p=1.0",13,0.0,13,0.5,116.0
81,"Kat ⊑ AnY, p=1.0",13,0.0,13,0.5,115.0
82,"YYd ⊑ AnY, p=1.0",13,0.0,13,0.5,114.0
83,"KRy ⊑ XhM, p=1.0",13,0.0,13,0.5,113.0
84,"AnY ⊑ OxI, p=1.0",12,0.0,12,0.5,110.0
85,"BUx ⊑ CkM, p=1.0",12,0.0,12,0.5,108.0
86,"XhM ⊑ yVP, p=1.0",12,0.0,12,0.5,106.0
87,"VIV ⊑ YRo, p=1.0",11,0.0,11,0.5,105.0
88,"CkM ⊑ YRo, p=1.0",11,0.0,11,0.5,104.0
89,"Xww ⊑ YRo, p=1.0",11,0.0,11,0.5,102.0
90,"sCZ ⊑ YRo, p=1.0",11,0.0,11,0.5,101.0
91,"OxI ⊑ cpq, p=1.0",11,0.0,11,0.5,100.0
92,"yVP ⊑ ZSG, p=1.0",11,0.0,11,0.5,99.0
93,"YRo ⊑ uiI, p=1.0",10,0.0,10,0.5,98.0
94,"KRy ⊑ bXy, p=1.0",10,0.0,10,0.5,96.0
95,"ZSG ⊑ bXy, p=1.0",10,0.0,10,0.5,95.0
96,"uEE ⊑ mpZ, p=1.0",10,0.0,10,0.5,94.0
97,"cpq ⊑ mpZ, p=1.0",10,0.0,10,0.5,93.0
98,"KAp ⊑ bXy, p=1.0",10,0.0,10,0.5,92.0
99,"uFE ⊑ mpZ, p=1.0",10,0.0,10,0.5,90.0
100,"bXy ⊑ GZQ, p=1.0",9,0.0,9,0.5,88.0
101,"uiI ⊑ Hau, p=1.0",9,0.0,9,0.5,87.0
102,"asU ⊑ XSP, p=1.0",9,0.0,9,0.5,86.0
103,"mHi ⊑ GZQ, p=1.0",9,0.0,9,0.5,85.0
104,"bXy ⊑ Hau, p=1.0",9,0.0,9,0.5,84.0
105,"mpZ ⊑ XSP, p=1.0",9,0.0,9,0.5,83.0
106,"VIV ⊑ pXt, p=1.0",8,0.0,8,0.5,79.0
107,"QIs ⊑ pXt, p=1.0",8,0.0,8,0.5,78.0
108,"cpq ⊑ spn, p=1.0",8,0.0,8,0.5,77.0
109,"Hau ⊑ pXt, p=1.0",8,0.0,8,0.5,76.0
110,"Jba ⊑ pJN, p=1.0",8,0.0,8,0.5,75.0
111,"hKm ⊑ pXt, p=1.0",8,0.0,8,0.5,74.0
112,"FkS ⊑ pXt, p=1.0",8,0.0,8,0.5,73.0
113,"CkM ⊑ pJN, p=1.0",8,0.0,8,0.5,71.0
114,"XSP ⊑ pJN, p=1.0",8,0.0,8,0.5,70.0
115,"GZQ ⊑ spn, p=1.0",8,0.0,8,0.5,69.0
116,"spn ⊑ hKs, p=1.0",7,0.0,7,0.5,67.0
117,"mpZ ⊑ hKs, p=1.0",7,0.0,7,0.5,66.0
118,"OxI ⊑ hKs, p=1.0",7,0.0,7,0.5,65.0
119,"asU ⊑ vpj, p=1.0",7,0.0,7,0.5,63.0
120,"ELZ ⊑ vpj, p=1.0",7,0.0,7,0.5,62.0
121,"pJN ⊑ vpj, p=1.0",7,0.0,7,0.5,61.0
122,"pXt ⊑ kyr, p=1.0",7,0.0,7,0.5,59.0
123,"mWS ⊑ gdL, p=1.0",6,0.0,6,0.5,58.0
124,"hKs ⊑ IUn, p=1.0",6,0.0,6,0.5,57.0
125,"uFE ⊑ gdL, p=1.0",6,0.0,6,0.5,55.0
126,"kyr ⊑ krY, p=1.0",6,0.0,6,0.5,54.0
127,"spn ⊑ krY, p=1.0",6,0.0,6,0.5,53.0
128,"vpj ⊑ gdL, p=1.0",6,0.0,6,0.5,52.0
129,"mpZ ⊑ IUn, p=1.0",6,0.0,6,0.5,51.0
130,"Hau ⊑ gdL, p=1.0",6,0.0,6,0.5,48.0
131,"uiI ⊑ gdL, p=1.0",6,0.0,6,0.5,47.0
132,"spn ⊑ HIZ, p=1.0",5,0.0,5,0.5,45.0
133,"bXy ⊑ HIZ, p=1.0",5,0.0,5,0.5,44.0
134,"IUn ⊑ mJK, p=1.0",5,0.0,5,0.5,43.0
135,"OxI ⊑ mJK, p=1.0",5,0.0,5,0.5,42.0
136,"BUx ⊑ UcU, p=1.0",5,0.0,5,0.5,41.0
137,"osk ⊑ mJK, p=1.0",5,0.0,5,0.5,40.0
138,"krY ⊑ HIZ, p=1.0",5,0.0,5,0.5,38.0
139,"hKs ⊑ HIZ, p=1.0",5,0.0,5,0.5,37.0
